Time,PacketsPerSecond
1,3.5
2,2.8
3,5.2
4,4.1
5,6.3
6,3.9
7,5.6
8,4.2
9,6.1
10,3.7
11,5.0
12,4.8
13,6.5
14,3.3
15,5.9
16,4.4
17,6.2
18,3.6
19,5.3
20,4.0
21,5.8
22,4.7
23,6.4
24,3.4
25,5.1
26,4.9
27,6.0
28,3.8
29,5.7
30,4.3
31,6.6
32,3.2
33,5.4
34,4.5
35,6.7
36,3.1
37,5.5
38,4.6
39,6.8
40,3.0
41,5.6
42,4.7
43,6.9
44,2.9
45,5.3
46,4.4
47,7.0
48,2.8
49,5.1
50,4.3
51,6.2
52,3.8
53,5.4
54,4.7
55,6.5
56,3.3
57,5.0
58,4.4
59,6.1
60,3.7
61,5.3
62,4.6
63,6.0
64,3.2
65,5.7
66,4.1
67,6.3
68,3.9
69,5.8
70,4.2
71,6.6
72,3.1
73,5.5
74,4.5
75,6.7
76,3.6
77,5.9
78,4.3
79,6.8
80,3.5
81,5.2
82,4.0
83,6.9
84,3.4
85,5.6
86,4.8
87,7.0
88,2.8
89,5.1
90,4.6
91,6.4
92,3.0
93,5.4
94,4.7
95,6.2
96,3.2
97,5.7
98,4.4
99,6.1
100,3.7

